,date,Tavg,RH_avg,RR,ddd_x,ff_avg,station_name,flood
0,2016-01-01,28.6,81.0,1.4,280.0,2.0,Stasiun Klimatologi Banten,0
1,2016-01-02,27.0,88.0,1.6,290.0,2.0,Stasiun Klimatologi Banten,1
2,2016-01-03,28.1,80.0,33.8,280.0,2.0,Stasiun Klimatologi Banten,1
3,2016-01-04,29.2,81.0,1.4,200.0,1.0,Stasiun Klimatologi Banten,0
4,2016-01-05,26.7,91.0,1.4,180.0,1.0,Stasiun Klimatologi Banten,0
5,2016-01-06,28.9,80.0,3.8,190.0,2.0,Stasiun Klimatologi Banten,0
6,2016-01-07,30.0,78.0,1.4,60.0,2.0,Stasiun Klimatologi Banten,0
7,2016-01-08,29.9,79.0,1.4,50.0,2.0,Stasiun Klimatologi Banten,0
8,2016-01-09,29.7,79.0,1.4,110.0,2.0,Stasiun Klimatologi Banten,0
9,2016-01-10,29.2,80.0,1.4,80.0,2.0,Stasiun Klimatologi Banten,0
10,2016-01-11,28.2,83.0,1.4,280.0,1.0,Stasiun Klimatologi Banten,0
11,2016-01-12,26.0,93.0,11.5,50.0,1.0,Stasiun Klimatologi Banten,1
12,2016-01-13,26.3,92.0,36.3,270.0,1.0,Stasiun Klimatologi Banten,0
13,2016-01-14,28.5,84.0,4.4,40.0,2.0,Stasiun Klimatologi Banten,0
14,2016-01-15,29.0,84.0,1.4,70.0,1.0,Stasiun Klimatologi Banten,0
15,2016-01-16,28.6,82.0,0.6,60.0,1.0,Stasiun Klimatologi Banten,0
16,2016-01-17,28.1,86.0,1.4,160.0,2.0,Stasiun Klimatologi Banten,0
17,2016-01-18,28.5,81.0,4.5,280.0,2.0,Stasiun Klimatologi Banten,0
18,2016-01-19,27.4,89.0,3.4,250.0,2.0,Stasiun Klimatologi Banten,0
19,2016-01-20,27.8,87.0,0.9,260.0,2.0,Stasiun Klimatologi Banten,1
20,2016-01-21,27.7,86.0,0.3,260.0,1.0,Stasiun Klimatologi Banten,0
21,2016-01-22,28.7,84.0,0.1,300.0,2.0,Stasiun Klimatologi Banten,0
22,2016-01-23,26.2,88.0,13.9,130.0,2.0,Stasiun Klimatologi Banten,0
23,2016-01-24,27.2,91.0,7.5,180.0,1.0,Stasiun Klimatologi Banten,0
24,2016-01-25,25.5,96.0,56.0,120.0,1.0,Stasiun Klimatologi Banten,0
25,2016-01-26,28.1,85.0,2.0,290.0,1.0,Stasiun Klimatologi Banten,0
26,2016-01-27,29.2,83.0,1.4,240.0,2.0,Stasiun Klimatologi Banten,0
27,2016-01-28,29.0,83.0,1.4,130.0,2.0,Stasiun Klimatologi Banten,0
28,2016-01-29,29.1,80.0,1.4,170.0,2.0,Stasiun Klimatologi Banten,0
29,2016-01-30,28.0,86.0,2.0,290.0,2.0,Stasiun Klimatologi Banten,1
30,2016-01-31,27.9,82.0,0.4,260.0,2.0,Stasiun Klimatologi Banten,1
31,2016-02-01,27.2,89.0,1.4,280.0,2.0,Stasiun Klimatologi Banten,0
32,2016-02-02,27.5,89.0,26.5,280.0,3.0,Stasiun Klimatologi Banten,1
33,2016-02-03,27.8,82.0,4.0,250.0,2.0,Stasiun Klimatologi Banten,1
34,2016-02-04,26.9,90.0,1.4,210.0,1.0,Stasiun Klimatologi Banten,0
35,2016-02-05,28.4,84.0,7.7,260.0,2.0,Stasiun Klimatologi Banten,0
36,2016-02-06,28.7,85.0,1.4,240.0,2.0,Stasiun Klimatologi Banten,0
37,2016-02-07,27.9,86.0,0.5,250.0,2.0,Stasiun Klimatologi Banten,0
38,2016-02-08,26.7,92.0,27.5,280.0,2.0,Stasiun Klimatologi Banten,0
39,2016-02-09,27.1,88.0,23.7,260.0,2.0,Stasiun Klimatologi Banten,0
40,2016-02-10,26.4,90.0,10.0,280.0,2.0,Stasiun Klimatologi Banten,1
41,2016-02-11,27.3,89.0,1.4,270.0,2.0,Stasiun Klimatologi Banten,1
